ФИО,Диссертационный совет,Название диссертации,Дата защиты диссертации,Специальность,1 Научный руководитель (консультант),2 Научный руководитель (консультант),Год защиты,Искомая степень,Информация о лишении степени,Примечания
Махинов Владимир Алексеевич,Д 215.002.03,Психофизиологическая реабилитация больных с различными формами гинекологической патологии,24.09.2013,19.00.02 – психофизиология,Сысоев Владимир Николаевич,-,2013,,,
Яркова Андрей Михайлович,Д 215.002.03,Физиологическое обоснование рациональной физической нагрузки как метода коррекции функционального состояния организма и работоспособности личного состава надводного корабля в условиях похода,18.06.2013,"14.03.08 – авиационная, космическая и морская медицина",Жильцова Ирина Игоревна,-,2013,,,
Белоусова Ольга Дмитриевна,Д 215.002.02,Возможности определения прижизненности и давности образования резаных ран методом атомно-силовой микроскопии,26.06.2013,"14.03.05 – судебная медицина 
14.03.02 – патологическая анатомия",Толмачев Игорь Анатольевич,Гайдаш Александр Александрович,2013,,,
Волошина Нелли Ивановна,Д 215.002.01,Организация санаторно-курортной реабилитации работников метрополитена,16.09.2013,"14.03.11 – восстановительная медицина, спортивная медицина, лечебная физкультура, курортология и физиотерапия 
14.02.03 – общественное здоровье и здравоохранение",Пономаренко Геннадий Николаевич,Русев Илья Трифонович,2013,,,
Носов Сергей Владимирович,Д 215.002.09,Тактика лечения поздних поствитрэктомических гемофтальмов у больных сахарным диабетом,17.06.2013,14.01.07 – глазные болезни,Тахчиди Христо Периклович,-,2013,,,
Стеценко Владимир Петрович,Д 215.002.07,Индивидуальная чувствительность крыс к нейропептидам и ноотропам после модуляции систем стресса и антистресса в раннем онтогенезе,25.06.2013,"14.03.06 – фармакология, клиническая фармакология 
03.03.01 – физиология",Шабанов Петр Дмитриевич,Лебедев Андрей Андреевич,2013,,,
Кононенко Инна Александровна ,Д 215.002.12,Гигиеническая оценка новых зерновых продуктов питания и возможности их использования в рациональном и диетическом питании населения,25.06.2013,14.02.01 – гигиена,Доценко В.А.,-,2013,,,
Никоноров Игорь Юрьевич,Д 215.002.02,Протективные свойства новой гриппозной инактивированной виросомальной вакцины,25.06.2013,14.02.02 – эпидемиология,Ерофеева М.К.,-,2013,,,
Пензева Ксения Валерьевна ,Д 215.002.09,Первичный задний капсулорексис как метод хирургической профилактики вторичной катаракты,17.06.2013,14.01.07 – глазные болезни,Тахтаев Ю.В.,-,2013,,,
Салухов Владимир Владимирович,Д 215.002.06,Обоснование новых подходов к комплексной патогенетической терапии острого радиационного синдрома : клинико-экспериментальное исследование,10.06.2013,"14.01.04 – внутренние болезни
 03.01.01 – радиобиология ",Халимов Юрий Шавкатович,Легеза В.И.,2013,,,
Мальцев Дмитрий Сергеевич,Д 215.002.09,Особенности гистоархитектоники структур глазного дна при офтальмохламидиозе ,03.06.2013,"14.01.07 – глазные болезни
03.03.04 – клеточная биология, цитология, гистология",Бойко Э.В.,Чепур С.В.,2013,,,
Дедов Владимир Андреевич,Д 215.002.03,Патоморфологические и патогенетические аспекты гриппа H1N1 Калифорния в клинике и в эксперименте,14.10.2013,14.03.02 – патологическая анатомия,Цинзерлинг Всеволод Александрович,-,2013,,,
Першко Виталий Анатольевич,Д 215.002.11,Клинико-экспериментальное исследование эффективности цитокинов при миелодепрессии лучевой этиологии,03.06.2013,"03.01.01 – радиобиология 
14.01.04 – внутренние болезни",Халимов Юрий Шавкатович,"Салухов В.В,",2013,,,
Лантухов Дмитрий Викторович,Д 215.002.11,Обоснование подходов к повышению эффективности терапии отравлений органофосфатами с учетом особенностей реактивации холинэстеразы,07.06.2013,"14.03.04  – токсикология
14.01.04 – внутренние болезни",Чепур С.В.,Халимов Ю.Ш.,2013,,,
Дмитриев Вячеслав Александрович,Д 215.002.10,"Дмитриев, Вячеслав Александрович. Применение современных местных гемостатических средств при тяжелых повреждениях печени в системе многоэтапной хирургической тактики(""Damage control"") при политравме",20.05.2013,14.01.17 – хирургия,Бояринцев В.В.,-,2013,,,
Елдашов Сергей Викторович,Д 215.002.10,Экспериментальное обоснование современных методов хирургического лечения сочетанных лучевых поражений,10.06.2013,14.01.17 – хирургия 03.01.01 – радиобиология,Бояринцев В.В.,Гребенюк А.Н.,2013,,,
Кондаков Александр Юрьевич,Д 215.002.11,Экспериментальное изучение эффективности применения интерлейкина-1β при сочетанных радиационных поражениях,03.06.2013,"03.01.01 – радиобиология 
05.26.02 – безопасность в чрезвычайных ситуациях",Легеза Владимир Иванович,Селезнев А.Б.,2013,,,
Тубаджи Ессам,Д 215.002.09,"Сравнительная оценка результатов хирургического, лазерного и консервативного лечения пациентов с первичной открытоугольной глаукомой при длительном периоде наблюдения",17.06.2013,14.01.07 – глазные болезни,Алексеев Владимир Николаевич,-,2013,,,
Ковальская Анастасия Анатольевна,Д 215.002.09,Диагностические возможности инфракрасной окулографии в офтальмологии ,03.06.2013,14.01.07 – глазные болезни,Коскин С.А.,-,2013,,,
Батько Андрей Борисович,Д 215.002.05, Антагонисты кальция в комплексной регуляции деятельности почек и верхних мочевых путей у больных мочекаменной болезнью (клинико-экспериментальное исследование),26.09.2013,"14.01.23 – урология 
14.03.06 – фармакология, клиническая фармакология",Комяков Б.К.,Дьячук Г.И.,2013,,,
Калинина Ольга Владимировна ,Д 215.002.09,Особенности формирования индивидуальной гигиенической программы профилактики стоматологических заболеваний у беременных,03.06.2013,14.01.14 – стоматология,Уметовский С. Б.,-,2013,,,
Конькова-Рейдман Алена Борисовна,Д 215.002.01,"Моно- и микст-инфекции иксодовых клещевых боррелиозов и клещевого энцефалита : клиника, эпидемиология, иммуноопосредованные аспекты патогенеза",16.09.2013,"14.01.09 – инфекционные болезни
14.02.02 – эпидемиология",Злобин В.И.,Ратникова Л.И.,2013,,,
Воронцова Ольга Анатольевна,Д 215.002.09,"Некоторые особенности клинического течения синдрома ""сухого глаза"" у детей",03.06.2013,14.01.07 – глазные болезни,Бржеский Владимир Всеволодович,-,2013,,,
Кремнева Татьяна Викторовна,Д 215.002.03,Психофизиологические особенности пациентов с косметическими дефектами и методы их коррекции,21.05.2013,19.00.02 – психофизиология,Сысоев Владимир Николаевич,-,2013,,,
Лагвилава Темур Олегович,Д 215.002.02,Патогенетическое обоснование выбора ранозаживляющих и иммуномодулирующих средств у ветеранов Вооруженных Сил пожилого и старческого возраста при синдроме диабетической стопы,18.06.2013,14.03.03 – патологическая физиология,Зиновьев Евгений Владимирович,-,2013,,,
Шамли Нежмеддин Бен Лазхар,Д 215.002.01,Клинико-этиологические особенности онихомикоза у больных с метаболическим синдромом,20.05.2013,14.01.10 – кожные и венерические болезни,Разнатовский Константин Игоревич,-,2013,,,
Лавров Никанор Васильевич,Д 215.002.07,Экспериментальная оценка эмоциогенных и нейропротективных эффектов новых препаратов пептидной структуры,21.05.2013,"14.03.06 – фармакология, клиническая фармакология 
03.03.01 – физиология",Шабанов Петр Дмитриевич,Русановский В.В.,2013,,,
Балашова Анна Викторовна ,Д 215.002.01,Применение пилинга с β - липогидроксикислотой в коррекции возрастных изменений кожи,26.04.2013,14.01.10 – кожные и венерические болезни,Королькова Татьяна Николаевна,-,2013,,,
Амро Абдаллах,Д 215.002.09,Клиническая картина и лечение переломов нижней челюсти у взрослых людей в различные возрастные периоды,13.05.2013,"14.01.14 – стоматология 
14.03.01 – анатомия человека",Гребнев Геннадий Александрович,Иорданишвили А.К.,2013,,,
Умарова Малохат Амиршоевна,Д 215.002.05,"Состояние соматического и репродуктивного здоровья женщин, принимавших в ювенильном периоде комбинированные оральные контрацептивы",23.05.2013,14.01.01 – акушерство и гинекология,Кустаров В.Н.,-,2013,,,
Писаревский Игорь Юрьевич,Д 215.002.09,Клиническое значение оптической плотности челюстей и височно-нижнечелюстного сустава при планировании лечения пациентов с частичной потерей зубов,13.05.2013,14.01.14 – стоматология,Бородулина Ирина Ивановна,-,2013,,,
Арутюнян Ованес Арташович,Д 215.002.10,Выбор хирургической тактики при колоректальном раке с метастатическим поражением печени,22.04.2013,14.01.17 – хирургия,Соловьев Иван Анатольевич,-,2013,,,
Зубкова Ирина Ивановна,Д 215.002.06,Медико-социальные и экономические последствия остеопоротических переломов среди взрослого населения Санкт-Петербурга,13.05.2013,"14.01.04 – внутренние болезни 
14.02.03 – общественное здоровье и здравоохранение ",Зайкин Е. Г.,Хурцилава О.Г.,2013,,,
Корнилов Владимир Александрович,Д 215.002.07,"Эмоциональные и двигательные нарушения поведения у крыс, вызванные введением ксенобиотиков в раннем онтогенезе",21.05.2013,"14.03.06 – фармакология, клиническая фармакология",Шабанов Петр Дмитриевич,-,2013,,,
Пирожинский Виталий Владимирович,Д 215.002.09,Стоматологическая заболеваемость рабочих производства синтетических моющих средств,15.04.2013,"14.01.14 – стоматология 
14.02.01 – гигиена",Иорданишвили Андрей Константинович,Щербо А.П.,2013,,,
Колчев Сергей Александрович,Д 215.002.04,"Патогенетические закономерности формирования специфического дефекта при параноидной шизофрении, осложненной алкоголизмом",08.04.2013,14.01.06 – психиатрия,Литвинцев С.В.,-,2013,,,
Кокорина Галина Ивановна,Д 215.002.08,Генотипы штаммов Yersinia pseudotuberculosis и их клиническое и диагностическое значение,28.05.2013,03.02.03 – микробиология,Ценева Г.Я.,-,2013,,,
Родионова Анна Юрьевна,Д 215.002.06,"Клинико-экспертные параметры, ограничения жизнедеятельности и оценка реабилитации на основе ""Международной классификации функционирования, ограничений жизнедеятельности и здоровья"" у больных артериальной гипертензией, ассоциированной с метаболическими нарушениями",10.06.2013,14.01.04 – внутренние болезни,Сергеева В.В.,-,2013,,,
Ильясов Денис Маратович ,Д 215.002.09,Лечебная тактика при повреждении околоносовых пазух у пострадавших с тяжелой сочетанной травмой головы,15.04.2013,"14.01.03 – болезни уха, горла и носа",Гофман Виктор Робертович,-,2013,,,
Киреева Елена Борисовна,Д 215.002.06,"Нейровегетативные и иммунные нарушения при полиморбидной сердечно-сосудистой патологии у участников ликвидации последствий чернобыльской катастрофы в отдаленном периоде (патогенез, диагностика, лечение)",10.06.2013,"14.01.04 – внутренние болезни 
14.03.09 – клиническая иммунология, аллергология",Парцерняк  С.А.,Карамуллин М.А.,2013,,,
Сперанская Александра Анатольевна,Д 215.002.11,Комплексное компьютерно-томографическое и радионуклидное исследование в дифференциальной диагностике интерстициальных заболеваний легких,07.06.2013,"14.01.13 – лучевая диагностика, лучевая терапия",Амосов Виктор Иванович,-,2013,,,
Виноградова Татьяна Алексеевна,Д 215.002.03,Особенности микрoциркуляции и ее регуляции у больных мигренью,21.05.2013,"14.03.03 – патологическая физиология 
14.01.11 – нервные болезни",Молотков О.В.,Юдельсон Я.Б.,2013,,,
Колов Сергей Александрович,Д 215.002.04,Отдаленные последствия боевого стресса с позиции биопсихосоциального подхода,20.05.2013,"14.01.06 – психиатрия
 19.00.04 – медицинская психология",Шамрей Владислав Казимирович,Чехлатый Е.И.,2013,,,
Дрёмов Владимир Владимирович,Д 215.002.04,Совершенствование диагностики когнитивных нарушений в целях военно-врачебной экспертизы у военнослужащих с дисциркуляторной энцефалопатией,08.04.2013,14.01.11 – нервные болезни,Емелин А.Н.,-,2013,,,
Харитонова Елена Евгеньевна,Д 215.002.01,Коррекция морфометрических показателей роста волос у пациентов с андрогенетической алопецией,18.03.2013,14.01.10 – кожные и венерические болезни,Королькова Татьяна Николаевна,-,2013,,,
Гома Татьяна Владимировна,Д 215.002.06,Клинико-иммунологические аспекты поражения сердца при диффузном токсическом зобе,13.05.2013,"14.01.02 – эндокринология 
14.01.04  – внутренние болезни",Орлова Г.М.,-,2013,,,
Юсупов Владислав Викторович,Д 215.002.03,Психофизиологическое сопровождение обучающихся в системе военного образования,19.03.2013,19.00.02 – психофизиология,Ганопольский В.П.,-,2013,,,
Климов Александр Сергеевич,Д 215.002.03,Психофизиологическая оценка профессионально важных качеств войскового врача,19.03.2013,19.00.02 – психофизиология,Булка А.П.,-,2013,,,
Елистратова Людмила Леонтьевна,Д 215.002.08,"Клинико-микробиологические особенности акнеподобных дерматозов, осложненных демодекозом",28.03.2013,"03.02.03 – микробиология
14.01.10 – клжные и венерические болезни ",Потатуркина-Нестерова Наталия Иосифовна,Нестеров А.С.,2013,,,
Орлова Марина Михайловна,Д 215.002.06,Клинико-лабораторная характеристика функции почек у пациентов с первичным гипотиреозом,18.03.2013,14.01.02 – эндокринология,Родионова Татьяна Игоревна,-,2013,,,
Бала Анатолий Михайлович,Д 215.002.08,"Особенности контактной сенсибилизации в условиях профессиональной деятельности, связанной с высокотоксичными химическими соединениями",20.02.2013,"14.03.09 – клиническая иммунология, аллергология
14.03.04 – токсикология",Гребенюк Александр Николаевич,Вологжанин Д.А.,2013,,,
Крачко Эльвира Адисовна,Д 215.002.03,Психофизиологические критерии распределения курсантов военного авиационного образовательного учреждения по родам авиации,16.04.2013,"14.03.08 – авиационная, космическая и морская медицина
19.00.02 – психофизиология",Блашнин А.А.,Булка А.П.,2013,,,
Глуховской Дмитрий Владимирович,Д 215.002.06,Комплексная оценка клинико-лабораторно-инструментальных показателей у пациентов с артериальной гипертензией в зависимости от особенностей ремоделирования левого предсердия,15.04.2013,14.01.05 – кардиология,Барсуков А.В.,-,2013,,,
Альпер Григорий Александрович,Д 215.002.06,Диагностическое значение пепсинобразующей функции желудка в выявлении предопухолевых изменений слизистой оболочки желудка при хроническом атрофическом гастрите,13.05.2013,14.01.04 – внутренние болезни,Павлович И.М.,-,2013,,,
Зобнина Мария Павловна,Д 215.002.06,Ретроспективная оценка выживаемости больных эссенциальной артериальной гипертензией в зависимости от исходных особенностей ремоделирования левого желудочка,15.04.2013,14.01.05 – кардиология,Барсуков А.В.,-,2013,,,
Хайрутдинов Владислав Ринатович,Д 215.002.01,"Роль полиморфных генов программируемой клеточной гибели, Т-лимфоцитов и дендритных клеток в патогенезе псориаза",26.04.2013,"14.01.10 – кожные и венерические болезни
14.03.10 – клиническая лабораторная диагностика",Самцов Алексей Викторович,Имянитов Е.Н.,2013,,,
Колчева Юлия Александровна,Д 215.002.04,Энцефалопатия при хронической обструктивной болезни легких,11.02.2013,"14.01.11 – нервные болезни
14.01.04 – внутренние болезни",Литвиненко Игорь Вячеславович,Баранов В.Л.,2013,,,
Щулькин Алексей Владимирович,Д 215.002.07,Антигипоксическое и антиишемическое действие фитоэкдистерона и механизмы его развития,12.02.2013,"14.03.06 – фармакология, клиническая фармакология
14.03.03 – патологическая физиология",Якушева Е.Н.,Давыдов В.В.,2013,,,
Сергеев Дмитрий Владимирович,Д 215.002.07,Клинико-экспериментальная оценка противовоспалительных свойств бетулина,12.02.2013,"14.03.06 – фармакология, клиническая фармакология",Дычук Г.И.,-,2013,,,
Соболевская Оксана Львовна,Д 215.002.01,Сочетанная HBV/HCV-инфекция: характеристика иммунного ответа и подходы к противовирусной терапии,20.05.2013,14.01.09 – инфекционные болезни,Корочкина О.В.,-,2013,,,
Мазуренко Роман Геннадьевич,Д 215.002.02,Анатомические предпосылки эректильной дисфункции сосудистого генеза ,11.02.2013,14.03.01 – анатомия человека,Гайворонский Иван Васильевич,-,2013,,,
Черный Валерий Станиславович,Д 215.002.03,Организация лечебно-эвакуационных мероприятий при возникновении очагов массовых поражений аварийно химически опасными веществами в пункте базирования флота,19.02.2013,"14.03.08 – авиационная, космическая и морская медицина
14.03.04 – токсикология",Софронов Г.А.,Леонтьев О.В.,2013,,,
Лымаренко Валерий Михайлович,Д 215.002.03,Патогенетические механизмы психовегетативных дисфункций при воздействии хронического профессионального стресса у врачей поликлинических учреждений,19.02.2013,14.03.03 – патологическая физиология,Леонтьев О.В.,-,2013,,,
Мавренков Эдуард Михайлович,ДС 215.006.01,Спец. Тема,22.03.2019,20.02.28 – военная медицина,Цыган Василий Николаевич,–,2019,,,
Петраков Василий Александрович,ДС 215.006.01,Спец. Тема,28.09.2018,20.02.28 – военная медицина,Щеголев А.В.,–,2018,,,
Захаров Юрий Владимирович,ДС 215.006.01,Спец. Тема,12.12.2017,20.02.28 – военная медицина,Шеленов А.М.,–,2017,,,
Цымбаленко Александр Валерьевич ,ДС 215.006.01,Спец. Тема,12.12.2017,20.02.28 – военная медицина,Ивченко Е.В.,–,2017,,,
Макиев Руслан Гайозович,ДС 215.006.01,Спец. Тема,05.12.2017,20.02.28 – военная медицина,Фисун А.Я.,Черкашин Д.В.,2017,,,
Безбородов Андрей Николаевич,ДС 215.006.01,Спец. Тема,05.12.2017,20.02.28 – военная медицина,Кульнев С.В.,–,2017,,,
Чувашев Максим Леонидович,ДС 215.006.01,Спец. Тема,30.09.2016,20.02.28 – военная медицина,Шеленов А.Ш.,–,2016,,,
Миронов Василий Геннадьевич,ДС 215.006.01,Спец. Тема,21.10.2016,20.02.28 – военная медицина,Дворянчиков Владимир Владимирович,–,2016,,,
Лучников Эдуард Александрович,ДС 215.006.01,Спец. Тема,30.09.2016,20.02.28 – военная медицина,Черников О.Г.,–,2016,,,
Анисимов Александр Сергеевич,ДС 215.006.01,Спец. Тема,30.09.2016,20.02.28 – военная медицина,Шеленов А.Ш.,–,2016,,,
Ивченко Евгений Викторович,ДС 215.006.01,Спец. Тема,25.11.2016,20.02.28 – военная медицина,Цыган Василий Николаевич,–,2016,,,
Григорян Арсен Грачьяевич,Д 215.002.10,Радиочастотная облитерация в хирургическом лечении варикозной болезни ,21.09.2015,14.01.26 – сердечно–сосудистая хирургия,Шайдаков Е.В.,–,2015,,,
Блищ Ольга Юрьевна,Д 215.002.11 ,"Магнитно–резонансная томография патологических состояний тазобедренного сустава, предрасполагающих к развитию деформирующего артроза",19.06.2015,"14.01.13 – лучевая диагностика, лучевая терапия",Фокина В.А.,–,2015,,,
Сахин Валерий Тимофеевич,Д 215.002.06,Состояние сердечно–сосудистой системы и некоторых факторов нейрогуморальной регуляции у больных травматической болезнью,22.06.2015,14.01.04 – внутренние болезни,Гордиенко А.В.,–,2015,,,
Шмедык Надежда Юрьевна ,Д 215.002.11 ,Магнитно–резонансная пельвиметрия в диагностике анатомически и клинически узкого таза,19.06.2015,"14.01.13 – лучевая диагностика, лучевая терапия",Рязанов Владимир Викторович,–,2015,,,
Яковлева Екатерина Евгеньевна,Д 215.002.07,Фармакологический анализ производных флуоренкорбоновой и альфа–оксифлуоренкорбоновой кислот,29.09.2015,"14.03.06 – фармакология, клиническая фармакология",Хныченко Л.К.,–,2015,,,
Дроздова Ольга Александровна ,Д 215.002.11 ,Возможности компьютерной томографии в ранней диагностике и определении тактики лечения острых нарушений мезентериального кровообращения,19.06.2015,"14.01.13 – лучевая диагностика, лучевая терапия",Сперанская А.А.,–,2015,,,
Демидова Татьяна Александровна,Д 215.002.06,Особенности суточной динамики гликемии и вегетативной регуляции у больных сахарным диабетом 2–го типа с ишемической болезнью сердца,22.06.2015,"14.01.02 – эндокринология
14.01.05 – кардиология",Кицышин В.П.,Халимов Ю.Ш.,2015,,,
Реброва Дина Владимировна ,Д 215.002.06,Дифференциальная диагностика и течение низкоренинового гиперальдостеронизма,08.06.2015,14.01.02 – эндокринология,Ворохобина Наталья Владимировна,–,2015,,,
Лавренчук Дмитрий Вадимович,Д 215.002.06,Влияние эрадикации Helicobacter pylori на морфологическую структуру слизистой оболочки желудка у больных хроническим гастритом : диссертация ... кандидата медицинских наук,22.06.2015,14.01.04 – внутренние болезни,Павлович И.М.,–,2015,,,
